Age,Gender,Height,Weight,BMI,Calories,WorkoutDuration,Steps,SleepHours,WaterIntake,ActivityLevel,FatLoss,WeightLoss
22,Male,174.1,63.6,20.99,1762,68,8544,7.1,2.6,Moderate,7.9,8.12
55,Female,153.5,78.5,33.31,2249,47,5729,6.2,2.4,Moderate,5.49,6.0
49,Female,160.8,64.9,25.08,2093,55,5454,8.6,0.8,Moderate,6.41,7.4
39,Female,155.4,70.9,29.33,2742,28,9172,6.9,2.8,High,4.73,5.72
38,Male,183.6,101.2,30.02,2330,22,3808,8.3,0.8,Moderate,4.75,5.42
59,Male,171.1,75.3,25.73,1900,0,5314,5.0,3.1,Low,3.1,3.59
22,Female,154.1,45.1,18.98,2785,86,7290,7.4,2.7,Low,4.64,5.85
51,Female,172.2,70.4,23.72,2664,71,9128,7.7,3.3,High,6.81,7.46
27,Female,167.8,79.0,28.07,1594,63,2696,6.8,2.0,Moderate,5.99,6.81
22,Female,171.2,78.7,26.85,2426,54,7542,6.4,2.6,Moderate,5.16,5.33
43,Male,167.4,88.0,31.4,1942,0,3482,6.8,3.2,Low,3.69,4.27
64,Male,176.9,86.5,27.64,1929,23,5605,7.9,1.8,High,5.78,6.76
53,Male,189.4,75.5,21.04,3234,37,10760,5.5,3.1,Moderate,3.19,3.32
54,Male,176.0,56.5,18.25,2362,14,7741,7.8,3.1,High,4.72,5.31
52,Male,181.2,70.1,21.34,2191,0,13841,7.4,2.5,Low,3.06,3.8
55,Female,162.5,66.8,25.31,2342,17,7747,6.7,4.0,Low,3.77,4.87
42,Male,176.5,72.9,23.4,2737,46,11388,6.7,3.1,Low,4.7,5.64
24,Male,175.5,90.4,29.37,1949,46,10781,7.1,1.1,Moderate,8.05,9.24
58,Female,175.8,85.3,27.59,2034,70,7953,9.0,3.5,High,7.01,7.91
39,Male,180.1,92.8,28.62,2628,102,3395,7.4,2.0,Moderate,6.35,7.26
42,Male,163.2,71.1,26.7,1541,64,7632,5.9,3.3,High,7.27,7.54
35,Female,173.9,105.2,34.78,2795,40,6135,6.5,2.9,Moderate,4.36,4.61
26,Male,172.5,90.1,30.27,1497,95,6000,5.6,0.8,Low,7.29,8.48
62,Female,158.6,80.0,31.81,2177,0,8545,4.7,3.1,Moderate,4.1,4.55
55,Female,154.8,88.9,37.1,1500,0,2926,5.6,2.4,High,4.4,4.81
48,Male,168.1,65.8,23.29,1771,20,4941,7.1,2.2,Moderate,5.43,5.43
37,Female,166.7,45.0,16.2,2948,67,4457,8.5,2.2,Low,3.66,4.64
57,Female,160.6,67.1,26.0,2822,49,7110,8.2,3.3,High,5.51,5.72
44,Female,162.4,91.5,34.69,2875,13,5311,5.6,1.8,Moderate,3.68,3.99
39,Female,165.9,79.4,28.87,1575,24,5541,6.0,3.6,High,6.11,7.09
39,Female,149.0,75.5,34.02,1774,10,8474,5.9,1.2,Moderate,5.29,5.29
28,Female,171.0,62.7,21.45,2469,10,6440,4.0,2.9,Moderate,3.48,4.56
22,Female,159.6,45.0,17.68,2657,88,8016,6.8,3.3,Moderate,4.65,4.96
44,Male,170.5,103.6,35.67,1900,40,4095,8.0,3.3,High,7.66,8.21
60,Female,166.3,74.3,26.84,2010,94,5100,6.7,2.8,High,6.73,7.06
21,Female,171.6,70.3,23.86,1734,20,15142,5.5,2.4,Moderate,5.0,5.13
59,Female,161.3,65.9,25.34,3129,58,5559,6.0,2.1,Low,3.69,4.03
57,Male,163.8,100.6,37.48,2062,51,1000,6.6,1.5,Low,5.11,5.42
31,Male,176.5,93.9,30.15,2315,69,9197,7.9,2.0,Low,6.5,6.67
48,Female,163.4,60.6,22.69,2341,52,5522,6.8,1.7,Moderate,4.6,5.74
25,Female,154.8,99.0,41.32,2852,72,8853,7.8,1.6,Moderate,7.04,7.3
54,Male,175.2,75.4,24.55,1823,60,7686,6.9,4.2,Low,5.52,5.52
51,Male,177.1,67.0,21.37,2884,14,9924,7.3,1.1,Moderate,3.81,3.81
35,Male,178.0,72.7,22.95,1660,65,7651,5.9,3.6,High,7.32,8.07
21,Female,166.7,63.9,22.99,2882,42,7207,6.2,1.5,Low,3.66,3.66
64,Male,175.5,54.2,17.61,1442,23,12017,5.5,1.7,Moderate,4.94,5.48
39,Other,175.9,92.0,29.73,2247,64,1000,7.7,1.7,Low,5.19,6.48
60,Male,154.6,74.0,30.98,3112,70,3360,6.7,1.6,Moderate,4.61,5.27
50,Male,179.2,89.1,27.76,2648,31,5112,4.0,3.4,High,4.94,5.65
55,Male,175.2,83.2,27.1,2510,35,2075,7.6,3.1,Low,5.0,5.41
54,Female,162.6,87.9,33.26,1775,6,6322,8.2,2.4,High,6.35,6.94
